Bureau ID,Date,Location,Strike ID,Time,Area,Target,Target Group,Westerners involved,Minimum Total Killed,Maximum Total Killed,Number of deaths,AQ/TB Killed,Minimum civilians killed,Maximum civilians killed,Civilians Killed,Min injured,Max injured,Injured,Minimum children killed,Max children killed,Children Killed,Pakistani approval,Short Summary,Long Summary,Related ID,Notes
B1,17-Jun-04,Wana,3,30-Dec-99,South Waziristan,Nek Mohammed,,,6,8,6-8,5,2,2,2,1,1,At least 1,2,2,2,Likely,"First known drone strike in Pakistan kills at least six, including infamous Taliban leader Nek Mohammad and two children. Wana, South Waziristan.","First known fatal US drone strike inside Pakistan. The target, local Taliban commander Nek Mohammed (linked to an assassination plot against General Musharraf) died. Also killed were four other alleged Taliban: Sher Zaman Ashrafkhel, Fakhar Zaman and Azmat Khan. Two sons of Sher Zaman aged 10 and 16 also died. Pakistan initially claimed the attack. Wana, South Waziristan.",,
B2,08-May-05,Toorikhel,4,30-Dec-99,North Waziristan,Haitham al-Yemeni,,,2,2,2,1 al-Qaeda,,,,,,,,,,Likely,"Two killed, including Haitham al-Yemeni an al Qaeda explosives expert, near Mir Ali, North Waziristan.","Target Haitham al-Yemeni (al Qaeda explosives expert) and car passenger Samiullah Khan killed. Yemeni had been under US surveillance for â€œmonthsâ€, and it is unclear why attempts were not made to capture him. Toorikhel, near Mir Ali, North Waziristan.",,
B3,05-Nov-05,Mosaki,5,,North Waziristan,Abu Hamza Rabia,,,8,8,8,0,3,8,3-8,1,1,1,2,3,3,,"Failed strike against Abu Hamza Rabia (""al Qaedaâ€™s Number 3"") kills eight including three children.","Failed strike against Abu Hamza Rabia ('al Qaeda Number 3') destroys his house and kills eight, including Rabia's wife and three children, all girls. Hamza himself was reported wounded in the leg. Mosaki, North Waziristan.",B4,
B4,01-Dec-05,Haisori,6,30-Dec-99,North Waziristan,Abu Hamza Rabia,,,5,5,5,1 al-Qaeda,2,2,2,,,,2,2,2,,"Syrian Abu Hamza Rabia, the senior al Qaeda operative targeted in B3, was killed with two other foreign militants and two boys, aged eight and 17.","Target Abu Hamza Rabia (al Qaeda) was killed along with four others, including two â€˜foreign militantsâ€™ (Suleiman al-Moghrabi and Amer Azizi â€“ linked to Madrid train bombings). Also dead are two children - an 8-year old and a 17-year old, Rabia's son. First speculation by the media of multiple Predator drones taking part in an attack. Photographer Hayatullah Khan (subsequently murdered) records remains of US Hellfire missile at site. Haisori or Assoray, North Waziristan.",B3; B39,
B5,06-Jan-06,Saidgai,7,,North Waziristan,,,,8,8,8,0,3,4,3-4,9,9,9,1,2,1,,"An attack on an unnamed alleged al Qaeda official left eight killed, including two women and at least one child.","Attack on an unnamed 'Al Qaeda  official' by US helicopters and a drone. House of Maulvi Noor Mohammad destroyed. Eight locals are reported killed including two women and one child. Report that 'US soldiersâ€™ take away two tribesmen following strike. Saigdai, North Waziristan.",B10,
B6,13-Jan-06,Damadola,8,,Bajaur Agency,Ayman al-Zawahiri; Abu Khabab al-Masri; Abd Rahman al-Masri al-Maghribi; Abu Ubeidah al-Masri; Marwan al-Suri; Khalid Habib; Abdul Hadi al-Iraqi,,,13,22,13-22,0-4,10,18,10-18,,,,5,6,5,,"A strike targeted a possible militant commanders' meeting. But main target Ayman al Zawahiri was absent. Up to 22 people died, most or all civilians, including at least five children.","Despite initial reports that all victims were al Qaeda or Taliban, including six commanders, later reports suggested that most or all of the dead were civilians, including 14 from one family, and five children. Damadola, Bajaur Agency. 

Reported killed:  
Abu Khabab al-Masri (WMD committee head) â€“ false, see B19
Abd Rahman al-Masri al-Maghribi (al-Zawahiri's son-in-law, al Qaeda commander) - unlikely
Abu Ubeidah al-Masri (Kunar operations chief) â€“ false â€“ died of natural causes 2008
Marwan al-Suri (Waziristan operations chief) â€“ false 
Khalid Habib (southeastern Afghanistan commander) - false
Abdul Hadi al-Iraqi (southwestern Afghanistan commander) â€“ false â€“ captured entering Iraq late 2006",B19,
B7,30-Oct-06,Chenegai,9,,Bajaur Agency,Maulvi Liaqat,,,81,83,81-83,,80,82,80-82,3,3,,68,70,69,,"An attack on a madrassa (allegedly a ""Taliban training camp"") killed 81-83, including at least 69 children.","Attack on a madrassa (allegedly a â€˜Taliban training campâ€™ according to some Pakistan army officials). The school, run by Maulvi Liaqat (killed), is destroyed and results in 82 deaths. As many as 69 are children â€“ all individually named by The News newspaper.  The attack leads to uproar in Bajaur, on a day that local militants were expected to sign a peace agreement with Pakistan. Chenegai, Bajaur Agency.",,
B8,16-Jan-07,Zamazola,10,30-Dec-99,South Waziristan,,,,8,8,8,,8,8,8,,,Unknown,0,1,0-1,,"Initial claims of 30 Taliban killed were lowered to eight deaths, who villagers insist were all innocent woodcutters.","A likely joint drone and Pakistani helicopter strike on a â€˜Taliban facility'. Initial claims of 30 Taliban killed were lowered to eight deaths, who villagers insist that they were all innocent woodcutters. The nephew and son of local Awaz Khan were reported among the dead.  Zamzola, South Waziristan.",,
B9,27-Apr-07,Saidgai,11,30-Dec-99,North Waziristan,Maulvi Noor Mohammed,,,3,4,3-4,0-4,3,4,4,3,9,3,,,,,"Attack on a house and madrassa killed 3-4, reportedly all named civilians.","Attack on a house and madrassa kills four and injures three. Locals deny the dead were bomb-making militants â€“ and name them as Zahidullah, Abdul Ghafoor, Jan Mohammad Mehsud and Dilawar. Danda Saidgi, North Waziristan.",,
B10,19-Jun-07,Mami Rogha,12,30-Dec-99,North Waziristan,,,,20,34,20-34,,0,34,0-34,10,15,10-15,,,Possibly,,"20-34 killed in attack on a madrassa, including â€˜foreignersâ€™. All killed could have been civilians and one report said children were among the dead.","Attack on a madrassa kills 20-34 with 18 'foreigners' (Chechen, Uzbek and Arab) reported among dead. Some suggestion that children are also killed. Mami Rogha, North Waziristan.",,
